====== 1982 相较于 1981 ======

改名的：
513327 <> 石渠县 > 炉霍县
513328 <> 色达县 > 甘孜县
513329 <> 泸定县 > 新龙县
513330 <> 丹巴县 > 德格县
513331 <> 九龙县 > 白玉县
513332 <> 雅江县 > 石渠县
513333 <> 道孚县 > 色达县
513335 <> 乡城县 > 巴塘县
513336 <> 稻城县 > 乡城县
513337 <> 巴塘县 > 稻城县
513422 <> 昭觉县 > 木里藏族自治县
513423 <> 甘洛县 > 盐源县
513426 <> 雷波县 > 会东县
513428 <> 会东县 > 普格县
513429 <> 会理县 > 布拖县
513430 <> 德昌县 > 金阳县
513431 <> 美姑县 > 昭觉县
513432 <> 金阳县 > 喜德县
513433 <> 布拖县 > 冕宁县
513434 <> 普格县 > 越西县
513435 <> 喜德县 > 甘洛县
513436 <> 越西县 > 美姑县
513437 <> 盐源县 > 雷波县
530121 <> 安宁县 > 呈贡县
530122 <> 呈贡县 > 晋宁县
530123 <> 富民县 > 安宁县
530124 <> 晋宁县 > 富民县
533321 <> 碧江县 > 泸水县
533322 <> 福贡县 > 碧江县
533323 <> 贡山独龙族怒族自治县 > 福贡县
533324 <> 泸水县 > 贡山独龙族怒族自治县
652401 <> 奎屯市 > 伊宁市
652402 <> 伊宁市 > 一区
652403 <> 一区 > 二区
652404 <> 二区 > 奎屯市

==============
新增的：
110221 <> 昌平县
110222 <> 顺义县
110223 <> 通县
110224 <> 大兴县
110225 <> 房山县
110226 <> 平谷县
110227 <> 怀柔县
110228 <> 密云县
110229 <> 延庆县
120221 <> 宁河县
120222 <> 武清县
120223 <> 静海县
120224 <> 宝坻县
120225 <> 蓟县
132733 <> 唐海县
132905 <> 泊头市
133001 <> 衡水市
142401 <> 榆次市
152427 <> 赤峰县
152501 <> 二连浩特市
152529 <> 正镶白旗
152530 <> 正蓝旗
152531 <> 多伦县
152632 <> 察哈尔右翼后旗
152633 <> 达尔罕茂明安联合旗
152634 <> 四子王旗
152728 <> 伊金霍洛旗
210704 <> 南票区
210705 <> 葫芦岛区
210706 <> 太和区
222500 <> 德惠地区
222521 <> 榆树县
222522 <> 农安县
222523 <> 九台县
222524 <> 德惠县
222525 <> 双阳县
222600 <> 永吉地区
222621 <> 永吉县
222622 <> 舒兰县
222623 <> 磐石县
222624 <> 蛟河县
222625 <> 桦甸县
230407 <> 兴山区
232301 <> 绥化市
232332 <> 绥棱县
232506 <> 阳明区
232602 <> 北安市
232627 <> 通北县
310221 <> 上海县
310222 <> 嘉定县
310223 <> 宝山县
310224 <> 川沙县
310225 <> 南汇县
310226 <> 奉贤县
310227 <> 松江县
310228 <> 金山县
310229 <> 青浦县
310230 <> 崇明县
330221 <> 镇海县
332121 <> 嘉善县
332128 <> 安吉县
332321 <> 上虞县
332400 <> 金华地区
332401 <> 金华市
332402 <> 衢州市
332421 <> 兰溪县
332422 <> 永康县
332423 <> 武义县
332424 <> 东阳县
332425 <> 义乌县
332426 <> 浦江县
332427 <> 常山县
332428 <> 江山县
332429 <> 开化县
332521 <> 丽水县
332528 <> 松阳县
332601 <> 椒江市
342301 <> 滁州市
342424 <> 肥西县
342525 <> 当涂县
342526 <> 繁昌县
342527 <> 南陵县
342528 <> 青阳县
342601 <> 巢湖市
352100 <> 建阳地区
352101 <> 南平市
352121 <> 顺昌县
352122 <> 建阳县
352123 <> 建瓯县
352124 <> 浦城县
352125 <> 邵武县
352126 <> 崇安县
352127 <> 光泽县
352128 <> 松溪县
352129 <> 政和县
352230 <> 周宁县
352231 <> 柘荣县
352401 <> 泉州市
352528 <> 平和县
352529 <> 华安县
352721 <> 明溪县
352728 <> 将乐县
352729 <> 泰宁县
352730 <> 建宁县
362101 <> 赣州市
362131 <> 宁都县
362132 <> 于都县
362133 <> 兴国县
362134 <> 瑞金县
362135 <> 会昌县
362136 <> 寻乌县
362137 <> 石城县
362138 <> 广昌县
362302 <> 鹰潭市
362334 <> 婺源县
362432 <> 宁冈县
362433 <> 井冈山县
370500 <> 东营市
370502 <> 东营区
370503 <> 河口区
370504 <> 牛庄区
370521 <> 垦利县
370522 <> 利津县
372301 <> 滨州市
372601 <> 泰安市
372602 <> 新汶市
410107 <> 新密区
410306 <> 吉利区
410412 <> 舞钢区
410800 <> 焦作市
410802 <> 解放区
410803 <> 中站区
410804 <> 马村区
410811 <> 郊区
412204 <> 北站区
430405 <> 板塘区
432901 <> 永州市
433101 <> 吉首市
440321 <> 宝安县
442302 <> 潮州市
512328 <> 黔江县
512329 <> 酉阳县
512330 <> 秀山县
512502 <> 泸州市
512535 <> 屏山县
512601 <> 乐山市
512629 <> 沐川县
512630 <> 青神县
512631 <> 丹棱县
512632 <> 峨边县
512633 <> 马边县
512634 <> 金口河工农区
512731 <> 蒲江县
512732 <> 新津县
512802 <> 市中区
512830 <> 平武县
512831 <> 北川县
512832 <> 遂宁县
512833 <> 三台县
512834 <> 中江县
512835 <> 蓬溪县
512836 <> 射洪县
512837 <> 盐亭县
513424 <> 德昌县
513425 <> 会理县
610304 <> 杨陵区
632421 <> 河南蒙古族自治县
650203 <> 克拉玛依区
650204 <> 白碱滩区
650205 <> 乌尔禾区

==============
移除的：
110201 <> 昌平县
110202 <> 顺义县
110203 <> 通县
110204 <> 大兴县
110205 <> 房山县
110206 <> 平谷县
110207 <> 怀柔县
110208 <> 密云县
110209 <> 延庆县
120201 <> 宁河县
120202 <> 武清县
120203 <> 静海县
120204 <> 宝坻县
120205 <> 蓟县
142301 <> 榆次市
152431 <> 阿鲁科尔沁旗
152801 <> 集宁市
152828 <> 丰镇县
152829 <> 凉城县
152830 <> 察哈尔右翼前旗
152831 <> 察哈尔右翼中旗
152832 <> 察哈尔右翼后旗
152833 <> 达尔罕茂明安联合旗
152834 <> 四子王旗
210711 <> 郊区
220121 <> 榆树县
220122 <> 农安县
220123 <> 九台县
220124 <> 德惠县
220125 <> 双阳县
220221 <> 永吉县
220222 <> 舒兰县
220223 <> 磐石县
220224 <> 蛟河县
220225 <> 桦甸县
230507 <> 兴山区
232132 <> 绥棱县
232323 <> 龙江县
232581 <> 绥芬河市
232621 <> 嫩江县
310201 <> 上海县
310202 <> 嘉定县
310203 <> 宝山县
310204 <> 川沙县
310205 <> 南汇县
310206 <> 奉贤县
310207 <> 松江县
310208 <> 金山县
310209 <> 青浦县
310210 <> 崇明县
332129 <> 长兴县
332130 <> 安吉县
332227 <> 镇海县
332325 <> 诸暨县
332501 <> 金华市
332502 <> 衢州市
332529 <> 常山县
332530 <> 江山县
332531 <> 开化县
332701 <> 椒江市
332725 <> 天台县
332726 <> 三门县
332727 <> 玉环县
332800 <> 舟山地区
332821 <> 定海县
332822 <> 普陀县
332823 <> 岱山县
332824 <> 嵊泗县
342323 <> 滁县
340123 <> 肥西县
340521 <> 当涂县
340222 <> 繁昌县
340223 <> 南陵县
340224 <> 青阳县
352201 <> 南平市
352328 <> 屏南县
352329 <> 寿宁县
352330 <> 周宁县
352331 <> 柘荣县
352621 <> 龙海县
352628 <> 平和县
352629 <> 华安县
352800 <> 三明地区
352801 <> 三明市
352821 <> 明溪县
352822 <> 永安县
352823 <> 清流县
352824 <> 宁化县
352825 <> 大田县
352826 <> 尤溪县
352827 <> 沙县
352828 <> 将乐县
352829 <> 泰宁县
352830 <> 建宁县
362202 <> 鹰潭市
362234 <> 弋阳县
362532 <> 安福县
362533 <> 井冈山县
362601 <> 赣州市
362631 <> 瑞金县
362632 <> 南康县
362633 <> 会昌县
362634 <> 上犹县
362635 <> 安远县
362636 <> 崇义县
362637 <> 寻乌县
362638 <> 大余县
372326 <> 利津县
372332 <> 垦利县
372623 <> 新泰县
